Action Name,Description,Hazard Name,Sector,Subsector,Cobenefits (Air quality/Emissions),Cobenefits (Water Quality),Cobenefits (Cost of Living),Cobenefits (Housing),Cobenefits (Mobility),Cobenefits (Stakeholder engagement),Equity and Inclusion Considerations,Timeline for Implementation,Dependencies,Potential Key Performance Indicators,Category,Local Climate Zone,Complexity,Cost Range,Further Resources,Heat Relevance Score
Adopt New Energy-Efficient Building Standards for Residential Buildings,"Adopt mandatory guidelines for energy-efficient construction of new residential buildings, covering insulation, passive cooling design, and reflective materials. These standards reduce indoor heat exposure and lower cooling energy demand, directly mitigating heat-related health risks for occupants.",Extreme Heat,Stationary Energy,residential buildings,1,0,0,-1,0,0,Low-income households in thermally inefficient buildings face disproportionate indoor heat exposure; standards must be applied consistently with targeted support for affordable housing.,<5 years,"Regulatory framework to enforce building standards, ""Availability of sustainable building materials"", ""Training and education for builders and architects on energy-efficient practices"", ""Incentives for developers to adopt green building practices"", ""Monitoring and evaluation mechanisms to assess compliance with standards""","Energy consumption reduction, ""Carbon emissions reduction"", ""Percentage of buildings meeting standards"", ""Cost savings from energy efficiency"", ""Water usage reduction"", ""Sustainable materials usage"", ""Occupant satisfaction"", ""Compliance rate with building standards""",Policies & Programs,"LCZ1, LCZ2, LCZ3, LCZ5, LCZ6",High,Medium,IEA (2023). Buildings – Energy System Analysis. https://www.iea.org/energy-system/buildings | IPCC AR6 WGIII Ch9 (2022). Buildings. https://www.ipcc.ch/report/ar6/wg3/chapter/chapter-9/,3
Adopt New Energy-Efficient Building Standards for Institutional Buildings,"Adopt mandatory guidelines for energy-efficient construction of new institutional buildings (schools, hospitals, government facilities), including passive cooling, reflective surfaces, and natural ventilation requirements. These standards reduce indoor heat stress, lower cooling energy demand, and ensure public buildings remain safe during heatwaves.",Extreme Heat,Stationary Energy,institutional buildings,1,0,0,-1,0,0,"Institutional buildings are critical cooling anchors for vulnerable populations who rely on schools, clinics, and social services during extreme heat events.",<5 years,"Compliance from construction companies with the new standards, ""Support from government agencies for enforcement and monitoring"", ""Availability of training programs for builders and architects on energy-efficient practices"", ""Public awareness and acceptance of sustainable building practices"", ""Access to funding or incentives for implementing energy-efficient technologies""","Energy consumption reduction, ""Carbon emissions reduction"", ""Percentage of buildings meeting new standards"", ""Cost savings from energy efficiency"", ""Water usage reduction"", ""Sustainable materials usage"", ""Building occupancy rates"", ""Compliance rate with building codes"", ""Reduction in urban heat island effect"", ""Feedback from building occupants on comfort and sustainability""",Policies & Programs,"LCZ1, LCZ2, LCZ3",High,Medium,IEA (2023). Buildings – Energy System Analysis. https://www.iea.org/energy-system/buildings | IPCC AR6 WGIII Ch9 (2022). Buildings. https://www.ipcc.ch/report/ar6/wg3/chapter/chapter-9/,3
Enforce Energy Performance Standards for Existing Residential Buildings,"Enforce standards for retrofitting existing residential buildings to improve thermal performance, including better insulation, reflective roofing, natural ventilation, and energy-efficient cooling systems. Retrofits reduce indoor heat exposure and lower cooling energy costs, with particular benefits for low-income households.",Extreme Heat,Stationary Energy,residential buildings,1,0,0,-1,0,0,"Retrofit programs should prioritize low-income and informal settlement housing, where indoor heat burden is greatest and self-funding capacity is lowest.",<5 years,"Availability of funding for retrofitting and upgrades, ""Access to skilled labor for implementing building improvements"", ""Compliance with local building codes and regulations"", ""Availability of energy-efficient technologies and materials"", ""Support from local government and stakeholders for policy implementation"", ""Public awareness and acceptance of sustainability practices""","Energy consumption reduction, ""Greenhouse gas emissions reduction"", ""Percentage of buildings meeting new standards"", ""Cost savings from energy efficiency improvements"", ""Increase in renewable energy usage"", ""Occupant satisfaction and comfort levels"", ""Reduction in water usage"", ""Improvement in indoor air quality"", ""Rate of retrofitted buildings"", ""Time taken for compliance with standards""",Laws & Regulations,"LCZ1, LCZ2, LCZ3, LCZ5, LCZ6",High,High,C40 Knowledge Hub (2022). Existing Building Standards Action Guide. https://www.c40knowledgehub.org | IPCC AR6 WGIII Ch9 (2022). Buildings. https://www.ipcc.ch/report/ar6/wg3/chapter/chapter-9/,3
Enforce Energy Performance Standards for Existing Commercial Buildings,"Enforce standards for improving the energy and thermal performance of existing commercial buildings through retrofits—covering upgrades to insulation, windows, roofing, and HVAC systems. These measures reduce building heat gain and occupant heat stress during extreme heat events.",Extreme Heat,Stationary Energy,commercial and institutional buildings and facilities,1,0,0,-1,0,0,Retrofits should improve working conditions for employees in hot environments; support programs must be accessible to small businesses and informal employers.,<5 years,"Availability of funding and financial incentives for building upgrades, ""Access to skilled labor and contractors for implementing improvements"", ""Compliance with local building codes and regulations"", ""Availability of technology and materials for energy-efficient upgrades"", ""Engagement and support from building owners and tenants"", ""Data on current building performance and energy usage for assessment""","Energy consumption reduction, ""Greenhouse gas emissions reduction"", ""Percentage of buildings meeting energy efficiency standards"", ""Cost savings from energy efficiency improvements"", ""Increase in renewable energy usage"", ""Occupant satisfaction and comfort levels"", ""Retrofit completion rate"", ""Water usage reduction"", ""Building certification levels (e.g., LEED, BREEAM)"", ""Reduction in operational costs""",Laws & Regulations,"LCZ1, LCZ2, LCZ3, LCZ8",High,High,C40 Knowledge Hub (2022). Existing Building Standards Action Guide. https://www.c40knowledgehub.org | IEA (2023). Buildings – Energy System Analysis. https://www.iea.org/energy-system/buildings,3
Develop District Heating and Cooling Networks,"Develop shared infrastructure to distribute thermally conditioned water to multiple buildings, enabling efficient cooling at scale. District cooling systems reduce the urban heat island effect compared to individual air conditioning units and provide cost-effective access to cooling in dense urban areas.",Extreme Heat,Stationary Energy,All buildings,1,0,1,0,0,0,District cooling must use inclusive pricing models to serve dense urban areas where individual air conditioning is unaffordable for low-income residents.,5-10 years,"Investment in infrastructure to build and maintain heat networks, ""Collaboration with local government and stakeholders for planning and implementation"", ""Access to renewable energy sources to supply heat"", ""Public awareness and acceptance of heat networks"", ""Regulatory frameworks that support energy efficiency and sustainability initiatives""","Reduction in carbon emissions (tons/year), ""Energy efficiency improvement (% increase)"", ""Percentage of buildings connected to heat networks (%)"", ""Cost savings for consumers ($/year)"", ""Heat loss reduction in distribution system (% decrease)"", ""Increase in renewable energy sources used (%)"", ""User satisfaction rate (%)"", ""Operational reliability of heat networks (% uptime)"", ""Investment in infrastructure ($)"", ""Reduction in energy consumption (MWh/year)""",Policies & Programs,"LCZ1, LCZ2, LCZ3, LCZ8",High,High,IEA (2022). District Heating. https://www.iea.org/energy-system/buildings/district-heating | UNEP (2021). District Energy in Cities Initiative. https://www.unep.org/explore-topics/energy/what-we-do/district-energy-cities,3
Promote Net-Zero and Green Building Certifications,"Promote sustainable buildings by supporting net-zero energy goals and encouraging green building certifications such as LEED. It aims to incentivize the construction and renovation of buildings that produce as much energy as they consume, reducing their environmental impact. This initiative also fosters the adoption of sustainable practices and technologies, ensuring long-term energy efficiency and environmental responsibility across residential, commercial, and public infrastructure.",Extreme Heat,Stationary Energy,All buildings,2,0,2,2,0,1,Certification pathways must include social housing and affordable buildings; low-income residents face greatest heat exposure but have least capacity to self-fund upgrades.,5-10 years,"Availability of financial incentives, subsidies, or tax credits to encourage homeowners to install solar, wind, and other clean energy systems, ""Access to information and educational resources to help homeowners understand the benefits, costs, and installation processes for clean energy systems"", ""Development of supportive regulations and policies that facilitate the installation of renewable energy technologies in residential areas""","Number of buildings certified as net-zero or green buildings annually., ""Reduction in energy and water consumption in certified buildings (kWh/year, m³/year)."", ""Estimated reduction in CO₂ equivalent emissions from green building practices.""",Policies & Programs,"LCZ1, LCZ2, LCZ3",High,Medium,US Green Building Council. LEED Certification. https://www.usgbc.org/leed | C40 Knowledge Hub. Net-Zero Building Standards. https://www.c40knowledgehub.org,2
Create a Financial Support Program for Extreme Weather Event Response,"Create a dedicated financial support program to assist households, businesses, and communities affected by extreme weather events including heatwaves, floods, and droughts. The program should prioritize recovery for the most vulnerable populations and support investment in heat-resilient rebuilding.","Extreme Heat, Droughts, Diseases, Landslides, Wildfires, Floods, Sea Level Rise, Storms",Emergency management; Public Health; Economic Development; City Administration,No Value Available,0,0,-1,1,1,2,"Programs must prioritize informal settlements and low-income households with highest exposure and fewest financial reserves; simple, multilingual applications are essential.",5-10 years,"Financial resources, ""Emergency response plans"", ""Institutional coordination""","Number of people assisted, ""Cost-effectiveness"", ""Community resilience""",Policies & Programs,"LCZ1, LCZ2, LCZ3, LCZ5, LCZ6",High,High,"IPCC AR6 WGII Ch8 (2022). Poverty, Livelihoods and Sustainable Development. https://www.ipcc.ch/report/ar6/wg2/chapter/chapter-8/ | World Bank (2022). Investing in People to Fight Poverty and Boost Shared Prosperity. https://www.worldbank.org",2
Expand Urban Biodiversity through Nature-Based Solutions,"Expand and restore diverse urban ecosystems—including green corridors, wetlands, and urban forests—to reduce urban heat island intensity through evapotranspiration and shading. These nature-based solutions deliver co-benefits for biodiversity, stormwater management, and community wellbeing.",Extreme Heat,AFOLU,No Value Available,1,1,0,0,0,0,"Green spaces must be distributed equitably across the city, prioritizing low-income neighborhoods historically underserved in environmental amenities and facing higher heat exposure.",5-10 years,"Availability of funding for green space projects, ""Community engagement and support for biodiversity initiatives"", ""Collaboration with local governments and environmental organizations"", ""Access to scientific research on local ecosystems"", ""Regulatory frameworks that support land conservation and urban planning""","Increase in green space area (hectares), ""Number of native species introduced"", ""Biodiversity index improvement"", ""Percentage of urban areas with accessible green spaces"", ""Community engagement in biodiversity programs"", ""Reduction in urban heat island effect"", ""Increase in pollinator populations"", ""Improvement in air quality metrics"", ""Number of partnerships with local conservation organizations"", ""Public awareness and education outreach metrics""",Ecosystem-Based/Nature-Based,"LCZ5, LCZ6, LCZA, LCZB, LCZD",High,Medium,C40 Knowledge Hub. Biodiversity Expansion Action Guide. https://www.c40knowledgehub.org | IPCC AR6 WGII Ch2 (2022). Terrestrial and Freshwater Ecosystems and Their Services. https://www.ipcc.ch/report/ar6/wg2/chapter/chapter-2/,3
Deploy a Heat Early Warning and Hydrometeorological Monitoring System,"Deploy heat early warning and hydrometeorological monitoring systems to detect and communicate forecasted dangerous heat conditions, enabling proactive emergency response. Integrate real-time temperature and humidity monitoring with targeted alerts to health authorities, emergency services, and the public to significantly reduce heat-related mortality.","Extreme Heat, Storms",Disaster Risk Management; Public Health,No Value Available,2,1,0,0,1,2,"Early warning systems must reach elderly, chronically ill, and informal settlement residents via multi-channel, multilingual outreach—SMS, community radio, and door-to-door contact.",5-10 years,"Access to reliable climate data and forecasting models, ""Effective communication infrastructure for disseminating warnings"", ""Community engagement and education on climate risks"", ""Collaboration with local and national emergency response agencies"", ""Funding and resources for technology and system maintenance""","Number of early warnings issued, ""Response time to warnings"", ""Levels of community awareness and preparedness"", ""Reduction of disaster-related damage"", ""Number of training sessions held"", ""Stakeholder engagement and participation rates"", ""Community feedback on effectiveness of warnings"", ""Frequency of exercises and drills conducted"", ""Reduction in heatwave-related death rates"", ""Timeliness of Warnings""",Technological,"LCZ1, LCZ2, LCZ3, LCZ5, LCZ6",High,Low,WHO (2021). Heat-Health Action Plans. https://www.who.int/publications/i/item/9789240008410 | WMO (2022). Multi-Hazard Early Warning Systems: A Checklist. https://library.wmo.int/doc_num.php?explnum_id=11126,5
Reform Urban Form to Reduce Heat Exposure and Carbon Emissions,"Reform urban spatial form by increasing density, mixing land uses, and designing for walkability to reduce car dependency, commuting heat exposure, and urban heat island intensity. Compact, connected urban form also reduces energy consumption in buildings and transport.",Extreme Heat,Transportation,On-road,1,0,1,1,2,1,"Improves access to affordable, efficient transport for underserved communities, reducing social and economic disparities linked to car dependency and heat exposure.",>10 years,"Policy support for land-use planning, ""public acceptance"", ""reallocation of transport budgets towards sustainable modes""","Reduction in per capita car use, ""increase in public transport ridership"", ""improved walkability index""",Structural/Physical,"LCZ1, LCZ2, LCZ3, LCZ5, LCZ6",High,High,IPCC AR6 WGIII Ch8 (2022). Urban Systems and Other Settlements. https://www.ipcc.ch/report/ar6/wg3/chapter/chapter-8/ | C40 Cities (2022). State and Trends in Urban Climate Action. https://www.c40.org,4
